loss,accuracy,val_loss,val_accuracy
0.6747065782546997,0.7892249822616577,0.16918760538101196,0.9624413251876831
0.11523313075304031,0.9706994295120239,0.09481623768806458,0.9718309640884399
0.04305348917841911,0.9933837652206421,0.05678321793675423,0.9812206625938416
0.023456040769815445,0.9971644878387451,0.057904649525880814,0.9765258431434631
0.01445868518203497,0.9990548491477966,0.05672428011894226,0.9765258431434631
0.012854323722422123,0.9990548491477966,0.05230916664004326,0.9812206625938416
0.005850984249264002,1.0,0.05059976875782013,0.9812206625938416
0.0040182191878557205,1.0,0.050256382673978806,0.9812206625938416
0.0036953126545995474,1.0,0.051044195890426636,0.9812206625938416
0.0022496755700558424,1.0,0.05318990349769592,0.9812206625938416
0.0018846957245841622,1.0,0.052132271230220795,0.9812206625938416
0.0015804647700861096,1.0,0.053306370973587036,0.9812206625938416
0.0012154807336628437,1.0,0.05376850441098213,0.9812206625938416
0.0010972614400088787,1.0,0.054372284561395645,0.9812206625938416
0.0009577259770594537,1.0,0.056477926671504974,0.9812206625938416
0.0008621473680250347,1.0,0.055641595274209976,0.9812206625938416
0.0007623258279636502,1.0,0.05771060287952423,0.9812206625938416
0.0006693485775031149,1.0,0.059235282242298126,0.9812206625938416
0.0005902145057916641,1.0,0.05921384319663048,0.9812206625938416
0.000531633326318115,1.0,0.05969986319541931,0.9812206625938416
